,421,423,801,425,427,429,431,433,803,435,437,439,441,443
San Jose Diridon,7:08:00,8:38:00,9:51:00,10:08:00,11:38:00,13:08:00,14:38:00,16:08:00,17:21:00,17:38:00,19:08:00,20:38:00,22:08:00,22:30:00
Santa Clara,7:13:00,8:43:00,,10:13:00,11:43:00,13:13:00,14:43:00,16:13:00,,17:43:00,19:13:00,20:43:00,22:13:00,22:35:00
Lawrence,7:19:00,8:49:00,,10:19:00,11:49:00,13:19:00,14:49:00,16:19:00,,17:49:00,19:19:00,20:49:00,22:19:00,22:40:00
Sunnyvale,7:23:00,8:53:00,10:01:00,10:23:00,11:53:00,13:23:00,14:53:00,16:23:00,17:31:00,17:53:00,19:23:00,20:53:00,22:23:00,22:44:00
Mountain View,7:29:00,8:59:00,10:06:00,10:29:00,11:59:00,13:29:00,14:59:00,16:29:00,17:36:00,17:59:00,19:29:00,20:59:00,22:29:00,22:49:00
San Antonio,7:33:00,9:03:00,,10:33:00,12:03:00,13:33:00,15:03:00,16:33:00,,18:03:00,19:33:00,21:03:00,22:33:00,22:53:00
California Ave,7:37:00,9:07:00,,10:37:00,12:07:00,13:37:00,15:07:00,16:37:00,,18:07:00,19:37:00,21:07:00,22:37:00,22:57:00
Palo Alto,7:42:00,9:12:00,10:13:00,10:42:00,12:12:00,13:42:00,15:12:00,16:42:00,17:43:00,18:12:00,19:42:00,21:12:00,22:42:00,23:01:00
Menlo Park,7:45:00,9:15:00,,10:45:00,12:15:00,13:45:00,15:15:00,16:45:00,,18:15:00,19:45:00,21:15:00,22:45:00,23:04:00
Atherton,7:49:00,9:19:00,,10:49:00,12:19:00,13:49:00,15:19:00,16:49:00,,18:19:00,19:49:00,21:19:00,22:49:00,23:08:00
Redwood City,7:53:00,9:23:00,10:20:00,10:53:00,12:23:00,13:53:00,15:23:00,16:53:00,17:50:00,18:23:00,19:53:00,21:23:00,22:53:00,23:12:00
San Carlos,7:58:00,9:28:00,,10:58:00,12:28:00,13:58:00,15:28:00,16:58:00,,18:28:00,19:58:00,21:28:00,22:58:00,23:17:00
Belmont,8:02:00,9:32:00,,11:02:00,12:32:00,14:02:00,15:32:00,17:02:00,,18:32:00,20:02:00,21:32:00,23:02:00,23:21:00
Hillsdale,8:05:00,9:35:00,10:27:00,11:05:00,12:35:00,14:05:00,15:35:00,17:05:00,17:57:00,18:35:00,20:05:00,21:35:00,23:05:00,23:24:00
Hayward Park,8:09:00,9:39:00,,11:09:00,12:39:00,14:09:00,15:39:00,17:09:00,,18:39:00,20:09:00,21:39:00,23:09:00,23:28:00
San Mateo,8:12:00,9:42:00,10:32:00,11:12:00,12:42:00,14:12:00,15:42:00,17:12:00,18:02:00,18:42:00,20:12:00,21:42:00,23:12:00,23:31:00
Burlingame,8:16:00,9:46:00,,11:16:00,12:46:00,14:16:00,15:46:00,17:16:00,,18:46:00,20:16:00,21:46:00,23:16:00,23:35:00
Broadway,8:20:00,9:50:00,,11:20:00,12:50:00,14:20:00,15:50:00,17:20:00,,18:50:00,20:20:00,21:50:00,23:20:00,23:39:00
Millbrae,8:23:00,9:53:00,10:40:00,11:23:00,12:53:00,14:23:00,15:53:00,17:23:00,18:10:00,18:53:00,20:23:00,21:53:00,23:23:00,23:42:00
San Bruno,8:28:00,9:58:00,,11:28:00,12:58:00,14:28:00,15:58:00,17:28:00,,18:58:00,20:28:00,21:58:00,23:28:00,23:47:00
So San Francisco,8:33:00,10:03:00,,11:33:00,13:03:00,14:33:00,16:03:00,17:33:00,,19:03:00,20:33:00,22:03:00,23:33:00,23:52:00
Bayshore,8:39:00,10:09:00,,11:39:00,13:09:00,14:39:00,16:09:00,17:39:00,,19:09:00,20:39:00,22:09:00,23:39:00,23:58:00
22nd Street,8:45:00,10:15:00,,11:45:00,13:15:00,14:45:00,16:15:00,17:45:00,,19:15:00,20:45:00,22:15:00,23:45:00,24:03:00
San Francisco,8:52:00,10:22:00,11:00:00,11:52:00,13:22:00,14:52:00,16:22:00,17:52:00,18:30:00,19:22:00,20:52:00,22:22:00,23:52:00,24:14:00
