Station,422,424,426,802,428,430,432,434,436,804,438,440,442,444

Train #
San Francisco,08:07:00,09:37:00,11:07:00,24:04:00,24:37:00,14:07:00,15:37:00,17:07:00,18:37:00,19:34:00,20:07:00,21:37:00,22:50:00,12:05:00
22nd Street,08:11:00,09:41:00,11:11:00,,24:41:00,14:11:00,15:41:00,17:11:00,18:41:00,,20:11:00,21:41:00,22:54:00,12:10:00
Bayshore,08:18:00,09:48:00,11:18:00,,24:48:00,14:18:00,15:48:00,17:18:00,18:48:00,,20:18:00,21:48:00,23:01:00,12:15:00
So. San Francisco,08:24:00,09:54:00,11:24:00,,24:54:00,14:24:00,15:54:00,17:24:00,18:54:00,,20:24:00,21:54:00,23:07:00,12:21:00
San Bruno,08:30:00,10:00:00,11:30:00,,13:00:00,14:30:00,16:00:00,17:30:00,19:00:00,,20:30:00,22:00:00,23:12:00,12:25:00
Millbrae,08:34:00,10:04:00,11:34:00,24:19:00,13:04:00,14:34:00,16:04:00,17:34:00,19:04:00,19:49:00,20:34:00,22:04:00,23:16:00,12:29:00
Broadway,08:38:00,10:08:00,11:38:00,,13:08:00,14:38:00,16:08:00,17:38:00,19:08:00,,20:38:00,22:08:00,23:21:00,12:33:00
Burlingame,08:41:00,10:11:00,11:41:00,,13:11:00,14:41:00,16:11:00,17:41:00,19:11:00,,20:41:00,22:11:00,23:24:00,12:35:00
San Mateo,08:45:00,10:15:00,11:45:00,24:26:00,13:15:00,14:45:00,16:15:00,17:45:00,19:15:00,19:56:00,20:45:00,22:15:00,23:28:00,12:41:00
Hayward Park,08:48:00,10:18:00,11:48:00,,13:18:00,14:48:00,16:18:00,17:48:00,19:18:00,,20:48:00,22:18:00,23:31:00,12:44:00
Hillsdale,08:52:00,10:22:00,11:52:00,24:30:00,13:22:00,14:52:00,16:22:00,17:52:00,19:22:00,20:00:00,20:52:00,22:22:00,23:35:00,12:48:00
Belmont,08:56:00,10:26:00,11:56:00,,13:26:00,14:56:00,16:26:00,17:56:00,19:26:00,,20:56:00,22:26:00,23:39:00,12:52:00
San Carlos,08:59:00,10:29:00,11:59:00,,13:29:00,14:59:00,16:29:00,17:59:00,19:29:00,,20:59:00,22:29:00,23:42:00,12:55:00
Redwood City,09:04:00,10:34:00,24:04:00,24:38:00,13:34:00,15:04:00,16:34:00,18:04:00,19:34:00,20:08:00,21:04:00,22:34:00,23:47:00,01:01:00
Atherton,09:09:00,10:39:00,24:09:00,,13:39:00,15:09:00,16:39:00,18:09:00,19:39:00,,21:09:00,22:39:00,23:52:00,01:05:00
Menlo Park,09:12:00,10:42:00,24:12:00,,13:42:00,15:12:00,16:42:00,18:12:00,19:42:00,,21:12:00,22:42:00,23:55:00,01:08:00
Palo Alto,09:16:00,10:46:00,24:16:00,24:45:00,13:46:00,15:16:00,16:46:00,18:16:00,19:46:00,20:15:00,21:16:00,22:46:00,23:59:00,01:11:00
California Ave,09:20:00,10:50:00,24:20:00,,13:50:00,15:20:00,16:50:00,18:20:00,19:50:00,,21:20:00,22:50:00,12:03:00,01:15:00
San Antonio,09:24:00,10:54:00,24:24:00,,13:54:00,15:24:00,16:54:00,18:24:00,19:54:00,,21:24:00,22:54:00,12:07:00,01:19:00
Mountain View,09:29:00,10:59:00,24:29:00,24:54:00,13:59:00,15:29:00,16:59:00,18:29:00,19:59:00,20:24:00,21:29:00,22:59:00,12:12:00,01:23:00
Sunnyvale,09:34:00,11:04:00,24:34:00,13:00:00,14:04:00,15:34:00,17:04:00,18:34:00,20:04:00,20:30:00,21:34:00,23:04:00,12:17:00,01:28:00
Lawrence,09:38:00,11:08:00,24:38:00,,14:08:00,15:38:00,17:08:00,18:38:00,20:08:00,,21:38:00,23:08:00,12:21:00,01:32:00
Santa Clara,09:44:00,11:14:00,24:44:00,,14:14:00,15:44:00,17:14:00,18:44:00,20:14:00,,21:44:00,23:14:00,12:27:00,01:37:00
SJ Diridon,09:52:00,11:22:00,24:52:00,13:13:00,14:22:00,15:52:00,17:22:00,18:52:00,20:22:00,20:43:00,21:52:00,23:22:00,12:35:00,01:45:00
Shuttle Bus,,,,,,,,,,,,,,
SJ Diridon,10:07:00,11:37:00,13:07:00,13:28:00,14:37:00,16:07:00,17:37:00,19:07:00,,20:58:00,22:07:00,,,
Tamien,10:17:00,11:47:00,13:17:00,13:38:00,14:47:00,16:17:00,17:47:00,19:17:00,,21:08:00,22:17:00,,,
